b_1,b_2,b_3,q1_1,q1_2,q1_3,q1_4,q1_5a,q1_5b,q1_6,q1_7,q1_8,q1_9,q1_10,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6a_1,q2_6a_2,q2_6a_3,q2_6a_4,q2_6a_5,q2_6a_6,q2_6a_7,q2_6a_8,q2_6a_9,q2_6a_10,q2_6a_11,q2_6_1,q2_6_2,q2_6_3,q2_6_4,q2_6_5,q2_6_6,q2_6_7,q2_6_8,q2_6_9,q2_6_10,q2_6_11,q2_6_12,q2_6_13,q2_6_14,q2_6_15,q2_6_16,q2_6_17,q2_6_18,q2_6_19,q2_6_20,q2_6_21,q2_6_22,q2_6_23,q2_6_24,q2_6_25,q2_6_26,q2_6_27,q2_6_28,q2_6_29,q2_6_30,q2_7_1,q2_7_2,q2_7_3,q2_7_4,q2_7_5,q2_7_6,q2_7_7,q2_7_8,q2_7_9,q2_7_10,q2_8,q2_9_1,q2_9_2,q3_1_1,q3_1_2,q3_1_3,q3_1_4,q3_2_1,q3_2_2,q3_2_3,q3_2_4,q3_2_5,q3_3,q3_4_1,q3_4_2,q3_4_3,q3_4_4,q3_5_1,q3_5_2,q3_5_3,q3_5_4,q3_5_5,q3_5_6,q3_5_7,q3_5_8,q3_5_9,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_1_5,q4_1_6,q4_1_7,q4_1_8,q4_1_9,q4_1_10,q4_1_11,q4_1_12,q4_1_13,q4_2_1,q4_2_2,q4_2_3,q4_2_4,q4_2_5,q4_2_6,q4_3_1,q4_3_2,q4_3_3,q4_3_4,q4_3_5,q4_3_6,q4_3_7,q4_4_1,q4_4_2,q4_4_3,q4_4_4,q4_4_5,q4_5_1,q4_5_2,q4_5_3,q4_5_4,q4_5_5,q4_5_6,q4_5_7,q4_5_8,q4_5_9,q4_5_10,q4_5_11,q4_5_12,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,q4_6_10,q4_6_11,q4_6_12,q4_6_13,q4_6_14,q4_6_15,q4_6_16,q4_7_1,q4_7_2,q4_7_3,q4_7_4,q4_7_5,q4_7_6,q4_7_7,q4_7_8,q4_7_9,q4_7_10,q4_7_11,q4_7_12,q4_7_13,q4_7_14,q4_7_15,q4_7_16,q4_7_17,q4_7_18,q4_7_19,q4_7_20,q5_1_1,q5_1_2,q5_1_3,q5_1_4,q5_1_5,q5_1_6,q5_1_7,q5_1_8,q5_1_9,q5_1_10,q5_1_11,q5_1_12,q5_1_13,q5_1_14,q5_1_15,q5_1_16,q5_2,q5_3_1,q5_3_2,q5_3_3,q5_3_4,q5_3_5,q5_3_6,q5_3_7,q5_4,q6_1_1,q6_1_2,q6_1_3,q6_1_4,q6_1_5,q6_1_6,q6_2_1,q6_2_2,q6_2_3,q6_2_4,q6_2_5,q6_2_6,q6_2_7,q6_2_8,q6_2_8_1,q6_3,q6_4_1,q6_4_2,q6_4_3,q6_4_4,q6_4_5,q6_5,q7_1_1,q7_1_2,q7_1_3,q7_1_4,q7_1_5,q7_1_6,q7_1_7,q7_1_8,q7_1_9,q7_2_1,q7_2_2,q7_2_3,q7_2_4,q7_2_5,q7_2_6,q7_2_7,q7_2_8,q7_2_9,q7_2_10,q7_2_11,q7_2_12,q7_2_13,q7_2_14,q7_2_15,q7_2_16,q7_2_17,q7_2_18,q7_2_19,q7_3_1,q7_3_2,q7_3_3,q7_3_4,q7_3_5,q7_3_6,q7_3_7,q7_3_8,q7_3_9,q7_3_10,q7_3_11,q7_3_11_1,q7_3_12,q7_4_1,q7_4_2,q7_4_3,q7_4_4,q7_4_5,q7_4_6,q7_4_7,q7_4_8,q7_4_9,q7_4_10,q7_4_11,q7_4_12,q7_4_12_1,q8_1_1,q8_1_2,q8_1_3,q8_1_4,q8_1_5,q8_1_6,q8_1_7,q8_1_8,q8_1_9,q8_2_1,q8_2_2,q8_2_3,q8_2_4,q8_2_5,q8_2_6,q8_2_7,q8_2_8,q8_3,q8_4_1,q8_4_2,q8_4_3,q8_4_4,q8_4a_1,q8_4a_2,q8_4c_1,q8_4c_2,q8_4c_3,q8_4c_4,q8_4c_5,q8_4c_6,q8_4d,q8_5_1,q8_5_2,q8_5_3,q8_5_4,q8_6_1,q8_6_2,q8_6_3,q8_6_4,q8_6_5,q8_6_6,q8_6_7,q8_7,q8_8,q8_9_1,q8_9_2,q8_9_3,q8_9_4,q8_9_5,q8_9_6,q8_9_7,q8_9_8,q8_9_9,q8_9_10,q8_9_11,q8_9_12,q8_9_13,q8_9_14,q8_9_15,q8_9_16,q8_9_17,q8_9_18,q8_9_19,q8_9_20,q8_10_1,q8_10_2,q8_10_3,q8_11_1,q8_11_2,q8_11_3,q8_11_4,q8_11_5,q8_11_6,q9_1,q9_2,q9_2a,q9_3,q9_4_1,q9_4_2,q9_4_3,q9_4_4,q9_4_5,q9_5_1,q9_5_2,q9_5_3,q9_5_4,q9_5_5,q9_5_6,q9_5_7,q9_5_8,q9_5_9,q9_5_9_1,q9_5_10,q9_6_1,q9_6_2,q9_6_3,q9_6_4,q9_6_5,q9_6_6,q9_6_7,q9_6_8,q9_6_9,q9_6_10,q9_6_11,q9_6_12,q9_6_13,q9_6_13_1,q9_6a_1,q9_6a_2,q9_6a_3,q9_6a_4,q9_6a_5,q9_6a_6,q9_6a_7,q9_6a_8,q9_6a_9,q9_6a_10,q9_6a_11,q9_6a_12,q9_6a_13,q9_6a_14,q9_6a_15,q9_6a_16,q9_6a_17,q9_6a_18,q9_6a_19,q9_7_1,q9_7_2,q9_7_3,q9_7_4,q9_7_5,q9_7_6,q9_7_7,q9_7_8,q9_7_9,q9_8,q9_9,q9_10_1,q9_10_2,q9_10_3,q9_10_4,q9_10_5,q9_10_6,q9_10_7,q9_10a,q9_11_1,q9_11_2,q9_11_3,q9_11_4,q9_12
243,243,2,5,4,Bündnis 90/Die Grünen                                                                                                   ,.,7,2004,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,.,3,3,4,3,2,2,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
244,244,2,5,4,Bündnis 90/Die Grünen                                                                                                   ,.,.,1984,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,1,Verbandsarbeit,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,.,1,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,4,5,5,4,4,4,5,4,4,5,4,., ,2,.,.,.,.,.,.,1,0,0,.,.,.,.,1,0,2,2,3,2,2,2,3,3,.,.,.,.,.,.,2,3,3,3,3,2,2,4,3,3,1,3,5,3,5,., ,.,4,3,5,4,5,2,4,5,4,5,5,., ,2,5,2,2,1,2,4,4,2,.,.,.,.,.,.,.,.,2,1,4,2,3,.,.,.,.,.,.,.,.,.,4,.,.,.,3,3,1,1,3,3,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,3,.,3,5,2,4,1,3,.,.,.,.,.,1,.,.,.,.,.,3,4,4,1,2,3,1,2,4,4,4,.,4, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,1,.,.,.,1,.,3,3,3,2,2,.,1,2,1,.,1,2,3,4,3
245,89,2,5,6,PDS,.,.,2000,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,., ,.,.,.,3,2,1,.,.,.,.,3,.,.,8,4,1,.,1,3,2,3,4,4,2,1,.,1,1,1,2,1,1,1,1,2,.,.,.,.,5,1,1,1,1,1,3,4,4,2,2,.,.,1,2,1,1,4,1,1,1,.,2,2,2,.,.,.,.,.,3,2,1,3,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,1,2,.,4,.,1,.,.,.,.,.,.,.,.,.,.,5,5,5,4,4,3,3,3,5,5,3,.,5,5, ,3,.,.,.,.,.,.,1,0,0,.,.,.,.,1,0,1,1,1,2,1,1,2,3,.,.,.,.,.,.,2,5,2,3,2,3,2,2,2,2,5,5,5,4,5,., ,.,3,3,3,3,6,6,5,6,6,6,3,., ,3,3,3,1,.,3,5,4,3,.,.,.,.,.,.,.,.,3,1,2,3,4,.,.,.,.,.,.,.,.,.,4,1,.,.,1,1,.,1,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,.,2,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,4,3,3,1,1,2,2,1,.,2,.,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,1,1,1,1,1,.,5,2,3,3,.,3,.,.,2,.,2,1,3,.,3
246,246,2,5,1,CDU,.,.,1979,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,., ,.,.,.,6,6,6,.,.,.,.,3,.,.,9,5,8,.,4,2,5,4,5,2,4,4,.,3,4,4,3,3,4,3,2,2,.,.,.,.,4,3,1,3,5,2,3,5,5,5,1,.,.,2,3,2,2,2,2,3,2,.,1,1,3,.,.,.,.,.,5,4,1,3,3,5,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,.,1,1,1,.,.,1,.,.,1,.,1,1,.,.,.,.,.,.,.,2,1,1,2,.,1,.,4,.,.,.,.,.,.,.,.,.,.,5,5,2,4,4,3,4,4,5,5,3,5,3,., ,3,.,.,.,.,.,.,1,0,0,.,.,.,.,1,1,1,1,1,1,1,1,2,2,.,.,.,.,.,.,1,1,1,1,3,4,4,4,3,2,2,2,4,2,2,., ,.,3,3,4,3,2,3,2,3,2,3,2,., ,2,5,4,4,1,.,4,4,3,.,.,.,.,.,.,.,.,2,4,1,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,1,2,2,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,.,2,.,.,.,.,.,.,1,.,.,1,.,.,1,1,meine politischen Partei,.,4,3,2,1,1,2,1,3,4,4,2,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,1,1,.,.,1,.,5,1,2,2,1,2,1,2,1,.,2,1,3,4,3
247,247,2,5,1,CSU,.,6,2004,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,., ,.,.,.,6,6,6,.,.,.,.,2,.,.,6,6,6,.,3,2,3,4,5,3,4,3,.,2,.,.,.,.,2,.,.,.,.,.,.,.,.,2,2,2,.,.,.,.,.,.,.,.,.,2,3,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,1,1,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,4,4,5,3,3,5,5,5,5,5,4, ,2,.,.,.,.,.,.,1,0,0,.,.,.,.,1,1,1,2,2,2,1,1,2,3,.,.,.,.,.,.,1,3,3,3,3,3,2,3,3,2,3,3,3,3,3,., ,.,3,3,4,4,2,4,3,4,4,4,4,4, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,1,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5,.,4,4,5,3,3,3,.,.,1,.,1,.,.,1,.,.,.,2,1,2,1,1,2,1,2,2,2,2,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,.,.,5,1,2,4,2,4,2,3,3,.,1,2,3,4,2
248,163,2,5,4,Bündnis 90/Die Grünen                                                                                                   ,.,6,1999,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,., ,.,.,.,3,3,2,.,.,.,.,3,.,.,6,7,8,.,3,3,3,3,2,3,2,2,.,3,3,3,3,3,3,3,2,2,.,.,.,.,5,2,1,1,3,2,3,2,3,3,1,.,.,1,3,2,1,4,2,2,2,.,2,2,3,.,.,.,.,.,2,3,2,3,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,.,2,.,2,.,.,.,.,.,.,.,.,.,.,5,5,4,5,5,2,4,4,3,2,3,3,5,4, ,3,.,.,.,.,.,.,1,0,.,.,.,.,.,1,0,1,1,2,2,1,1,3,4,.,.,.,.,.,.,2,2,2,4,3,3,3,3,3,3,4,3,4,4,3,., ,.,2,2,3,3,3,4,3,4,3,3,2,., ,1,4,4,3,2,2,3,3,4,.,.,.,.,.,.,.,.,2,1,4,2,3,.,.,.,.,.,.,.,.,.,4,3,1,2,2,2,1,1,5,5,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,.,1,3,4,2,2,2,.,1,.,.,.,.,.,.,.,.,.,3,4,3,1,1,2,1,1,3,4,4,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,.,5,1,2,2,2,2,1,1,1,.,1,2,4,3,3
249,249,2,5,3,FDP,.,6,2004,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,., ,.,.,.,7,7,5,.,.,.,.,2,.,.,5,5,5,.,4,2,5,3,3,2,2,2,.,5,4,3,5,4,3,3,5,1,.,.,.,.,4,2,1,3,5,2,3,5,5,5,1,.,.,1,1,5,2,2,1,1,1,.,1,1,2,.,.,.,.,.,4,3,2,2,2,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1,1,1,2,.,1,.,1,.,.,.,.,.,.,.,.,.,.,4,3,4,4,3,2,3,4,5,4,5,1,1,1, ,3,.,.,.,.,.,.,0,0,1,.,.,.,.,1,0,2,2,1,2,3,1,2,3,.,.,.,.,.,.,2,3,2,.,3,3,4,6,3,3,3,2,6,5,2,2,Handelskammern,.,5,5,5,5,5,.,3,5,2,2,5,., ,2,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,2,3,4,.,.,.,.,.,.,.,.,.,4,1,2,3,1,1,1,1,5,5,5,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,5,.,4,4,4,4,1,1,.,1,.,1,.,.,.,.,.,.,.,4,3,3,1,1,2,2,1,3,2,2,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,.,.,5,3,3,3,.,2,1,3,1,.,2,1,3,4,3
250,250,2,5,1,CDU,.,7,2004,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,., ,.,.,.,5,6,6,.,.,.,.,2,.,.,8,7,8,.,3,2,5,4,5,5,5,5,.,4,4,4,5,5,5,5,3,2,.,.,.,.,4,4,1,3,5,5,3,5,5,5,3,.,.,1,2,2,2,2,1,2,1,.,1,1,3,.,.,.,.,.,2,2,5,4,4,1,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,1,1,1,1,.,.,1,.,.,1,.,1,1,.,.,.,.,.,.,.,1,2,2,1,.,1,.,1,.,.,.,.,.,.,.,.,.,.,4,2,1,4,2,2,5,4,3,3,3,2,2,2, ,3,.,.,.,.,.,.,1,0,0,.,.,.,.,1,1,1,1,1,2,1,1,3,4,.,.,.,.,.,.,2,2,2,3,5,5,5,5,5,4,5,3,.,3,4,6, ,.,5,5,5,6,5,5,3,5,3,4,4,5, ,2,2,4,4,3,1,3,4,4,.,.,.,.,.,.,.,.,3,1,2,3,4,.,.,.,.,.,.,.,.,.,2,4,1,3,1,3,1,1,3,5,5,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5,.,3,2,2,4,4,4,1,1,1,.,.,.,.,.,.,.,.,3,3,2,1,1,2,2,3,3,3,3,.,4, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,5,1,3,3,2,4,2,3,2,.,1,3,2,4,3
251,93,2,5,1,CDU,.,6,1994,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,., ,.,.,.,6,6,5,.,.,.,.,2,.,.,8,6,8,.,4,1,4,4,4,3,4,4,.,2,3,1,3,1,2,1,2,3,.,.,.,.,4,2,1,4,3,3,2,5,5,5,1,.,.,1,4,1,1,2,2,4,1,.,1,1,1,.,.,.,.,.,2,4,2,2,5,5,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,.,1,1,1,.,.,1,.,.,1,.,1,1,.,.,.,.,.,.,.,2,1,1,1,.,2,.,4,.,.,.,.,.,.,.,.,.,.,5,3,4,3,4,3,4,5,3,5,3,4,2,., ,2,.,.,.,.,.,.,1,0,0,.,.,.,.,1,1,1,2,1,2,2,2,2,3,.,.,.,.,.,.,2,2,3,4,3,2,.,4,.,2,.,2,2,3,4,., ,.,3,4,6,4,3,6,2,2,2,4,5,., ,2,3,4,1,1,2,3,3,2,.,.,.,.,.,.,.,.,2,4,1,2,3,.,.,.,.,.,.,.,.,.,4,2,1,3,1,1,2,2,5,5,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5,.,3,2,3,2,.,2,.,1,.,.,1,.,1,.,.,.,.,4,1,2,3,2,2,2,1,3,4,3,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,.,.,1,.,5,1,3,4,2,2,2,1,3,.,1,3,2,4,3
252,252,2,5,2,SPD,.,9,1992,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,., ,.,.,.,3,4,4,.,.,.,.,2,.,.,6,3,8,.,1,2,3,2,4,5,4,1,.,2,2,2,2,2,2,2,3,2,.,.,.,.,5,4,1,3,2,2,3,5,5,4,1,.,.,2,.,2,2,5,1,1,2,.,2,1,2,.,.,.,.,.,2,2,3,2,3,5,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,1,1,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,3,1,1,2,.,4,.,1,.,.,.,.,.,.,.,.,.,.,5,5,4,3,3,2,2,2,5,5,5,4,1,., ,3,.,.,.,.,.,.,1,0,1,.,.,.,.,1,0,1,1,1,2,1,1,2,2,.,.,.,.,.,.,1,4,2,3,3,2,2,4,2,2,3,2,1,3,4,., ,.,2,2,5,2,2,3,2,1,3,4,3,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,2,3,4,.,.,.,.,.,.,.,.,.,4,.,.,.,1,2,2,2,4,5,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5,.,3,4,5,2,1,1,.,.,1,.,.,.,.,.,.,.,.,4,2,4,1,1,2,2,2,4,4,4,.,4, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,1,1,.,.,1,.,5,1,2,1,1,3,2,3,2,.,2,3,4,1,3
253,253,2,5,1,CDU,.,6,1999,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2,.,.,.,.,.,.,.,.,2,.,.,2,.,.,.,.,.,.,.,.,.,1,.,., ,.,.,.,6,6,6,.,.,.,.,2,.,.,5,5,5,.,3,2,4,4,4,3,4,4,.,3,3,3,3,2,4,3,3,3,.,.,.,.,4,3,2,3,3,2,3,3,3,4,2,.,.,3,3,3,3,3,3,3,2,.,2,2,3,.,.,.,.,.,4,3,3,2,4,4,.,.,.,.,.,.,.,.,.,.,1,.,1,1,1,.,.,.,1,1,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,2,2,2,2,.,2,.,2,.,.,.,.,.,.,.,.,.,.,5,5,5,5,4,5,3,5,5,5,5,5,5,5, ,2,.,.,.,.,.,.,1,0,0,.,.,.,.,0,1,1,1,2,1,1,1,1,2,.,.,.,.,.,.,1,2,1,2,2,3,3,3,3,2,2,2,3,2,3,., ,.,3,3,3,3,3,3,3,3,2,3,2,., ,2,4,4,1,2,3,3,3,3,.,.,.,.,.,.,.,.,2,1,4,2,3,.,.,.,.,.,.,.,.,.,4,2,1,3,1,2,2,1,4,4,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5,.,1,2,2,.,4,.,1,1,.,.,1,.,1,1,.,.,.,.,.,.,1,1,1,1,.,.,.,.,.,1, ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,1,1,.,.,1,.,5,2,3,2,3,2,2,2,1,.,2,1,3,4,2
254,254,2,5,3,FDP,.,6,2004,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,.,.,1,.,.,., ,.,.,.,7,6,4,.,.,.,.,2,.,.,9,7,8,.,5,2,5,5,2,4,2,3,.,5,5,5,5,5,4,4,5,1,.,.,.,.,5,3,1,2,5,2,4,5,5,4,1,.,.,2,1,3,3,2,1,1,1,.,1,1,3,.,.,.,.,.,5,5,1,1,4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,3,1,1,1,.,5,.,1,.,.,.,.,.,.,.,.,.,.,5,3,4,5,2,4,4,4,5,5,5,4,1,1, ,3,.,.,.,.,.,.,1,1,1,.,.,.,.,1,0,2,2,2,2,1,1,3,3,.,.,.,.,.,.,1,2,2,3,2,3,3,4,3,2,6,2,6,2,4,., ,.,3,3,6,4,3,6,2,6,2,5,3,., ,2,5,5,3,3,1,2,2,2,.,.,.,.,.,.,.,.,2,4,2,3,1,.,.,.,.,.,.,.,.,.,3,4,1,2,1,1,1,1,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,4,3,4,4,3,1,.,.,.,.,.,.,.,.,.,.,1,4,4,2,1,1,2,1,2,4,4,3,.,., ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,.,.,.,1,.,5,1,2,2,2,4,2,3,1,.,2,3,4,1,2
